equipo,equipo_nombre,posesion_%,pases_totales,precision_pase_%,pases_campo_rival_%,goles,goles_juego_abierto,goles_abp,remates_totales,remates_puerta,precision_tiro_%,conversion_gol_%,ocasiones_creadas,ocasiones_falladas,asistencias,key_passes,duelos_aereos,duelos_aereos_ganados,duelos_suelo,duelos_suelo_ganados,acciones_defensivas,ppda,recuperaciones,intercepciones,entradas_ganadas,remates_concedidos,goles_concedidos,porterias_cero,tarjetas_amarillas,tarjetas_rojas,eficacia_aerea_%,eficacia_duelo_suelo_%,remates_por_gol,remates_concedidos_por_accion_def,goles_por_remate,pases_por_posesion,indice_dominio,indice_amenaza,indice_eficacia,ppda_invertido,indice_presion,goles_concedidos_invertido,remates_concedidos_invertido,remates_concedidos_accion_invertido,indice_solidez,indice_global_equipo
Alaves,Deportivo Alavés,49.7,12703.0,80.8,74.21,32.0,16.0,2.0,274.0,119.0,43.43,11.68,0,0,18.0,230.0,964.0,479.0,2472.0,1187.0,868.0,10.9,1484.0,231.0,324.0,378.0,43.0,3.0,64.0,5.0,49.69,48.02,8.56,0.44,0.12,255.59,41.82,19.76,25.77,63.49,62.66,31.82,53.98,63.26,42.68,36.35
Athletic_Club,Athletic Club,48.8,12382.0,80.33,73.89,32.0,23.0,0.0,292.0,136.0,46.58,10.96,0,0,20.0,284.0,910.0,446.0,2185.0,985.0,1002.0,11.0,1577.0,268.0,276.0,289.0,43.0,5.0,63.0,11.0,49.01,45.08,9.12,0.29,0.11,253.73,39.42,25.5,26.66,61.9,86.67,31.82,93.36,100.0,66.04,44.47
Atletico_Madrid,Club Atlético de Madrid,54.1,15538.0,85.76,81.14,50.0,33.0,4.0,324.0,163.0,50.31,15.43,0,0,31.0,286.0,822.0,443.0,2042.0,993.0,787.0,12.0,1461.0,225.0,302.0,327.0,30.0,12.0,60.0,5.0,53.89,48.63,6.48,0.42,0.15,287.21,64.21,42.69,66.74,46.03,45.5,90.91,76.55,68.25,82.26,59.24
Barcelona,FC Barcelona,68.3,19491.0,89.68,86.87,80.0,61.0,0.0,431.0,216.0,50.12,18.56,0,0,59.0,393.0,552.0,325.0,2231.0,1178.0,821.0,8.6,1426.0,234.0,281.0,274.0,29.0,12.0,44.0,2.0,58.88,52.8,5.39,0.33,0.19,285.37,99.89,80.0,89.31,100.0,63.91,95.45,100.0,88.68,96.14,86.84
Betis,Real Betis Balompié,50.8,14111.0,84.76,78.52,44.0,35.0,2.0,323.0,145.0,44.89,13.62,0,0,29.0,302.0,749.0,375.0,2147.0,1106.0,760.0,13.3,1463.0,270.0,305.0,367.0,37.0,9.0,59.0,2.0,50.07,51.51,7.34,0.48,0.14,277.78,52.79,36.45,42.86,25.4,35.7,59.09,58.85,51.42,58.23,44.97
Celta,Real Club Celta de Vigo,50.8,14945.0,86.15,81.25,44.0,31.0,0.0,244.0,125.0,51.23,18.03,0,0,28.0,229.0,512.0,243.0,1935.0,963.0,682.0,14.3,1336.0,215.0,238.0,362.0,37.0,8.0,56.0,1.0,47.46,49.77,5.55,0.53,0.18,294.19,58.74,22.08,87.61,9.52,7.5,59.09,61.06,39.45,55.5,47.18
Elche,Elche CF,58.0,15200.0,85.78,80.65,38.0,31.0,2.0,246.0,118.0,47.97,15.45,0,0,25.0,237.0,729.0,351.0,2232.0,1180.0,765.0,10.1,1447.0,242.0,317.0,438.0,47.0,6.0,60.0,8.0,48.15,52.87,6.47,0.57,0.15,262.07,67.31,18.42,62.29,76.19,52.17,13.64,27.43,29.02,23.51,45.24
Espanyol,Reial Club Deportiu Espanyol de Barcelona,42.5,10678.0,79.16,69.56,36.0,20.0,0.0,285.0,125.0,43.86,12.63,0,0,24.0,264.0,914.0,424.0,2087.0,1030.0,878.0,12.8,1355.0,247.0,295.0,395.0,44.0,8.0,63.0,6.0,46.39,49.35,7.92,0.45,0.13,251.25,21.35,24.09,33.59,33.33,38.37,27.27,46.46,59.66,43.29,30.33
Getafe,Getafe CF,39.2,8689.0,69.2,60.65,27.0,14.0,0.0,203.0,90.0,44.33,13.3,0,0,23.0,165.0,1102.0,494.0,2285.0,1157.0,919.0,11.7,1383.0,267.0,347.0,324.0,31.0,9.0,81.0,10.0,44.83,50.63,7.52,0.35,0.13,221.66,0.0,2.54,39.41,50.79,51.94,86.36,77.88,83.98,80.95,28.45
Girona,Girona FC,49.8,13921.0,85.42,78.99,32.0,21.0,0.0,217.0,118.0,54.38,14.75,0,0,23.0,221.0,678.0,324.0,2180.0,1129.0,665.0,14.6,1402.0,225.0,283.0,458.0,44.0,6.0,61.0,12.0,47.79,51.79,6.78,0.69,0.15,279.54,51.69,12.06,69.71,4.76,11.63,27.27,18.58,0.0,19.38,34.53
Levante,Levante UD,41.5,10474.0,78.58,68.01,34.0,20.0,2.0,236.0,105.0,44.49,14.41,0,0,19.0,217.0,801.0,396.0,2118.0,1035.0,771.0,13.7,1364.0,258.0,290.0,500.0,50.0,5.0,67.0,7.0,49.44,48.87,6.94,0.65,0.14,252.39,17.52,12.83,47.85,19.05,23.29,0.0,0.0,10.05,4.23,21.28
Mallorca,Real Club Deportivo Mallorca,45.0,11467.0,80.19,71.98,36.0,28.0,0.0,247.0,119.0,48.18,14.57,0,0,24.0,207.0,879.0,457.0,1966.0,968.0,677.0,14.3,1315.0,219.0,239.0,450.0,48.0,3.0,67.0,6.0,51.99,49.24,6.86,0.66,0.15,254.82,29.77,17.9,56.27,9.52,4.58,9.09,22.12,6.0,12.13,25.68
Osasuna,CA Osasuna,45.5,11443.0,80.17,72.49,36.0,17.0,4.0,254.0,112.0,44.09,14.17,0,0,25.0,219.0,891.0,486.0,2053.0,984.0,743.0,13.4,1424.0,241.0,256.0,384.0,37.0,7.0,72.0,11.0,54.55,47.93,7.06,0.52,0.14,251.49,30.98,17.43,45.33,23.81,28.92,59.09,51.33,42.94,51.68,33.26
Oviedo,Real Oviedo,44.9,11536.0,81.39,72.13,21.0,10.0,0.0,225.0,97.0,43.11,9.33,0,0,15.0,189.0,848.0,443.0,2129.0,1095.0,767.0,13.1,1346.0,235.0,326.0,466.0,48.0,8.0,62.0,12.0,52.24,51.43,10.71,0.61,0.09,256.93,30.04,4.28,7.93,28.57,24.14,9.09,15.04,20.27,18.06,16.5
Rayo_Vallecano,Rayo Vallecano de Madrid,53.2,12700.0,82.39,74.01,29.0,21.0,0.0,307.0,138.0,44.95,9.45,0,0,20.0,278.0,712.0,313.0,2130.0,1042.0,832.0,10.2,1508.0,236.0,302.0,361.0,35.0,9.0,73.0,13.0,43.96,48.92,10.59,0.43,0.09,238.72,45.76,26.6,12.4,74.6,65.55,68.18,61.5,63.66,64.79,40.12
Real_Madrid,Real Madrid CF,59.1,17620.0,89.59,86.95,64.0,40.0,0.0,405.0,206.0,50.86,15.8,0,0,45.0,374.0,542.0,310.0,2219.0,1207.0,806.0,11.2,1426.0,207.0,307.0,303.0,28.0,11.0,53.0,13.0,57.2,54.39,6.33,0.38,0.16,298.14,83.74,67.82,70.53,58.73,47.91,100.0,87.17,78.14,90.03,72.69
Real_sociedad,Real Sociedad de Fútbol,50.4,13344.0,82.97,76.02,46.0,33.0,2.0,287.0,144.0,50.17,16.03,0,0,29.0,271.0,853.0,437.0,2210.0,1081.0,916.0,10.5,1358.0,240.0,316.0,396.0,45.0,3.0,61.0,6.0,51.23,48.91,6.24,0.43,0.16,264.76,46.85,32.36,70.86,69.84,55.44,22.73,46.02,64.05,36.87,47.82
Sevilla,Sevilla FC,52.6,12523.0,81.79,73.01,37.0,26.0,0.0,236.0,109.0,46.19,15.68,0,0,24.0,232.0,878.0,472.0,2223.0,1099.0,862.0,10.2,1429.0,252.0,340.0,320.0,50.0,5.0,82.0,8.0,53.76,49.44,6.38,0.37,0.16,238.08,43.21,14.89,60.5,74.6,59.62,0.0,79.65,79.31,45.96,42.46
Valencia,Valencia CF,49.0,12568.0,82.07,74.41,34.0,22.0,0.0,233.0,91.0,39.06,14.59,0,0,23.0,208.0,788.0,363.0,2037.0,1031.0,680.0,13.8,1388.0,226.0,280.0,353.0,45.0,8.0,59.0,4.0,46.07,50.61,6.85,0.52,0.15,256.49,40.87,9.65,38.56,17.46,16.03,22.73,65.04,42.37,44.75,29.46
Villareal,Villarreal CF,43.1,11905.0,82.41,75.83,54.0,44.0,0.0,286.0,135.0,47.2,18.88,0,0,36.0,244.0,656.0,309.0,2253.0,1117.0,742.0,14.9,1408.0,275.0,315.0,377.0,35.0,8.0,64.0,5.0,47.1,49.58,5.3,0.51,0.19,276.22,33.82,33.83,85.94,0.0,18.65,68.18,54.42,45.13,57.49,45.52
