equipo,jugador,posicion,minutos,muestra_suficiente,perfil_jugador,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,ranking_total_laliga,ranking_ofensivo_laliga,ranking_progresion_laliga,ranking_defensivo_laliga,ranking_total_equipo,lectura_dashboard
Barcelona,Lamine Yamal,Forward,2134.0,Sí,Amenaza ofensiva,74.06,67.36,40.23,61.57,1,2,1,64,1,Lamine Yamal (Barcelona) aparece como amenaza ofensiva. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 1 en el ranking global de LaLiga.
Betis,Pablo Fornals,Midfielder,2353.0,Sí,Progresor / conector,43.73,60.74,41.03,48.87,2,8,5,55,1,Pablo Fornals (Betis) aparece como progresor / conector. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 2 en el ranking global de LaLiga.
Real Madrid,Vinícius Júnior,Forward,2214.0,Sí,Amenaza ofensiva,62.61,48.05,27.14,46.87,3,3,18,165,1,Vinícius Júnior (Real Madrid) aparece como amenaza ofensiva. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 3 en el ranking global de LaLiga.
Real Madrid,K. Mbappé,Forward,2142.0,Sí,Amenaza ofensiva,81.77,35.59,14.58,45.45,4,1,54,315,2,K. Mbappé (Real Madrid) aparece como amenaza ofensiva. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 4 en el ranking global de LaLiga.
Real Madrid,A. Güler,Midfielder,1926.0,Sí,Progresor / conector,48.9,53.23,31.79,45.28,5,6,11,127,3,A. Güler (Real Madrid) aparece como progresor / conector. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 5 en el ranking global de LaLiga.
Getafe,Luis Milla,Midfielder,2564.0,Sí,Sostén defensivo,33.88,43.98,56.99,44.35,6,26,24,10,1,Luis Milla (Getafe) aparece como sostén defensivo. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 6 en el ranking global de LaLiga.
Barcelona,Pedri,Midfielder,1543.0,Sí,Progresor / conector,29.45,63.3,39.1,44.19,7,42,4,72,2,Pedri (Barcelona) aparece como progresor / conector. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 7 en el ranking global de LaLiga.
Barcelona,Eric García,Defender,2253.0,Sí,Progresor / conector,16.27,60.52,56.24,43.75,8,105,7,13,3,Eric García (Barcelona) aparece como progresor / conector. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 8 en el ranking global de LaLiga.
Elche,Aleix Febas,Midfielder,2565.0,Sí,Progresor / conector,13.39,59.45,54.84,41.94,9,123,8,16,1,Aleix Febas (Elche) aparece como progresor / conector. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 9 en el ranking global de LaLiga.
Real Madrid,F. Valverde,Midfielder,2296.0,Sí,Progresor / conector,30.5,54.33,39.24,41.46,10,34,9,70,4,F. Valverde (Real Madrid) aparece como progresor / conector. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 10 en el ranking global de LaLiga.
Girona,D. Blind,Defender,2377.0,Sí,Progresor / conector,3.13,64.7,57.75,41.06,11,333,3,8,1,D. Blind (Girona) aparece como progresor / conector. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 11 en el ranking global de LaLiga.
Alaves,Antonio Blanco,Midfielder,2411.0,Sí,Sostén defensivo,14.06,42.38,67.71,40.07,12,118,28,1,1,Antonio Blanco (Alaves) aparece como sostén defensivo. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 12 en el ranking global de LaLiga.
Rayo Vallecano,F. Lejeune,Defender,2691.0,Sí,Sostén defensivo,9.24,47.53,67.12,40.01,13,182,19,2,1,F. Lejeune (Rayo Vallecano) aparece como sostén defensivo. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 13 en el ranking global de LaLiga.
Celta,Marcos Alonso,Defender,2154.0,Sí,Progresor / conector,6.3,66.82,46.58,39.56,14,245,2,36,1,Marcos Alonso (Celta) aparece como progresor / conector. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 14 en el ranking global de LaLiga.
Real Madrid,A. Tchouaméni,Midfielder,2240.0,Sí,Sostén defensivo,10.47,52.97,56.42,39.13,15,163,12,12,5,A. Tchouaméni (Real Madrid) aparece como sostén defensivo. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 15 en el ranking global de LaLiga.
Rayo Vallecano,A. Rațiu,Defender,2313.0,Sí,Sostén defensivo,20.14,43.65,54.12,38.56,16,78,25,17,2,A. Rațiu (Rayo Vallecano) aparece como sostén defensivo. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 16 en el ranking global de LaLiga.
Betis,Antony,Forward,1938.0,Sí,Amenaza ofensiva,43.26,36.62,32.8,37.8,17,9,51,118,2,Antony (Betis) aparece como amenaza ofensiva. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 17 en el ranking global de LaLiga.
Elche,D. Affengruber,Defender,2265.0,Sí,Sostén defensivo,2.99,47.26,66.3,37.48,18,338,21,4,2,D. Affengruber (Elche) aparece como sostén defensivo. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 18 en el ranking global de LaLiga.
Real Madrid,Álvaro Carreras,Defender,2064.0,Sí,Progresor / conector,12.96,51.75,48.1,37.08,19,131,13,30,6,Álvaro Carreras (Real Madrid) aparece como progresor / conector. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 19 en el ranking global de LaLiga.
Alaves,Jonny,Defender,2548.0,Sí,Sostén defensivo,5.34,50.18,56.72,36.45,20,270,15,11,2,Jonny (Alaves) aparece como sostén defensivo. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 20 en el ranking global de LaLiga.
Elche,Germán Valera,Forward,2318.0,Sí,Sostén defensivo,30.38,35.59,44.01,36.3,21,35,54,45,3,Germán Valera (Elche) aparece como sostén defensivo. Ocupa el puesto 3 dentro de su equipo por índice total y el puesto 21 en el ranking global de LaLiga.
Barcelona,Dani Olmo,Midfielder,1605.0,Sí,Amenaza ofensiva,41.85,36.21,29.75,36.25,22,11,52,136,4,Dani Olmo (Barcelona) aparece como amenaza ofensiva. Ocupa el puesto 4 dentro de su equipo por índice total y el puesto 22 en el ranking global de LaLiga.
Espanyol,Carlos Romero,Defender,2490.0,Sí,Sostén defensivo,21.35,29.57,60.05,35.84,23,72,95,7,1,Carlos Romero (Espanyol) aparece como sostén defensivo. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 23 en el ranking global de LaLiga.
Barcelona,J. Koundé,Defender,1931.0,Sí,Progresor / conector,18.41,48.76,40.23,35.58,24,89,16,64,5,J. Koundé (Barcelona) aparece como progresor / conector. Ocupa el puesto 5 dentro de su equipo por índice total y el puesto 24 en el ranking global de LaLiga.
Espanyol,Edu Expósito,Midfielder,1909.0,Sí,Progresor / conector,32.07,39.51,34.78,35.48,25,30,40,101,2,Edu Expósito (Espanyol) aparece como progresor / conector. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 25 en el ranking global de LaLiga.
Barcelona,Pau Cubarsí,Defender,2196.0,Sí,Progresor / conector,3.71,60.7,43.1,35.47,26,316,6,48,6,Pau Cubarsí (Barcelona) aparece como progresor / conector. Ocupa el puesto 6 dentro de su equipo por índice total y el puesto 26 en el ranking global de LaLiga.
Real sociedad,Mikel Oyarzabal,Forward,2274.0,Sí,Amenaza ofensiva,50.13,28.07,25.44,35.0,27,4,113,187,1,Mikel Oyarzabal (Real sociedad) aparece como amenaza ofensiva. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 27 en el ranking global de LaLiga.
Real sociedad,Sergio Gómez,Forward,2155.0,Sí,Sostén defensivo,11.15,44.03,52.25,34.99,28,154,23,21,2,Sergio Gómez (Real sociedad) aparece como sostén defensivo. Ocupa el puesto 2 dentro de su equipo por índice total y el puesto 28 en el ranking global de LaLiga.
Athletic Club,Mikel Jauregizar,Midfielder,2345.0,Sí,Sostén defensivo,11.34,37.87,57.74,34.55,29,152,47,9,1,Mikel Jauregizar (Athletic Club) aparece como sostén defensivo. Ocupa el puesto 1 dentro de su equipo por índice total y el puesto 29 en el ranking global de LaLiga.
