tipo_objeto,nombre_objeto,filas,columnas,uso_tfm
Figura / Gráfico,fig_amenaza_eficacia,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_barras_rs,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_defensivo_informe,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_dominio_amenaza,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_jugadores_clave_rivales,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_lideres_fase,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_limpio_1,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_limpio_2,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_limpio_3,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_limpio_4,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_madurez,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_mapa_estilos,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_matriz_riesgo_5,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_ofensivo_informe,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_posesion_campo_rival,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_presion_solidez,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_q1,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_q2,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_q3,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_q4,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_quadrant_def,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_quadrant_of,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_radar_5_rivales,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_radar_rs,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_ranking_total_jugadores,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_real_quad,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_riesgo_rivales,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_top3_amenazas,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_top3_amenazas_limpio,,,Visualización disponible para dashboard o presentación
Figura / Gráfico,fig_top3_amenazas_mejorado,,,Visualización disponible para dashboard o presentación
Tabla / DataFrame,df_5_partidos_tfm,5.0,13.0,"Tabla disponible para análisis, dashboard, exportación o presentación"
Tabla / DataFrame,df_amenaza,5.0,10.0,"Tabla disponible para análisis, dashboard, exportación o presentación"
