equipo,jugador,position,minutos,partidos,titularidades,goles,asistencias,pases_totales,recuperaciones,duelos_ganados,entradas_ganadas,intercepciones,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,rol_tactico,lectura_dashboard
Barcelona,Lamine Yamal,Forward,2134.0,26.0,24.0,14.0,6.0,1299.0,94.0,210.0,21.0,10.0,74.06,67.36,40.23,61.57,Amenaza ofensiva,"Lamine Yamal (Barcelona) aparece como amenaza ofensiva, con índice total 61.57. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Betis,Pablo Fornals,Midfielder,2353.0,30.0,27.0,7.0,4.0,1451.0,121.0,85.0,24.0,28.0,43.73,60.74,41.03,48.87,Progresor / conector,"Pablo Fornals (Betis) aparece como progresor / conector, con índice total 48.87. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,Vinícius Júnior,Forward,2214.0,29.0,25.0,11.0,4.0,896.0,67.0,162.0,14.0,2.0,62.61,48.05,27.14,46.87,Amenaza ofensiva,"Vinícius Júnior (Real Madrid) aparece como amenaza ofensiva, con índice total 46.87. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,K. Mbappé,Forward,2142.0,25.0,24.0,23.0,3.0,825.0,40.0,103.0,1.0,2.0,81.77,35.59,14.58,45.45,Amenaza ofensiva,"K. Mbappé (Real Madrid) aparece como amenaza ofensiva, con índice total 45.45. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,A. Güler,Midfielder,1926.0,30.0,24.0,4.0,8.0,1258.0,97.0,102.0,27.0,8.0,48.9,53.23,31.79,45.28,Progresor / conector,"A. Güler (Real Madrid) aparece como progresor / conector, con índice total 45.28. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Getafe,Luis Milla,Midfielder,2564.0,29.0,29.0,0.0,8.0,1128.0,180.0,146.0,25.0,34.0,33.88,43.98,56.99,44.35,Sostén defensivo,"Luis Milla (Getafe) aparece como sostén defensivo, con índice total 44.35. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Barcelona,Pedri,Midfielder,1543.0,22.0,17.0,2.0,5.0,1510.0,122.0,112.0,23.0,19.0,29.45,63.3,39.1,44.19,Progresor / conector,"Pedri (Barcelona) aparece como progresor / conector, con índice total 44.19. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Barcelona,Eric García,Defender,2253.0,28.0,26.0,1.0,2.0,1900.0,100.0,127.0,37.0,39.0,16.27,60.52,56.24,43.75,Progresor / conector,"Eric García (Barcelona) aparece como progresor / conector, con índice total 43.75. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Elche,Aleix Febas,Midfielder,2565.0,29.0,29.0,2.0,0.0,1595.0,145.0,195.0,37.0,21.0,13.39,59.45,54.84,41.94,Progresor / conector,"Aleix Febas (Elche) aparece como progresor / conector, con índice total 41.94. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,F. Valverde,Midfielder,2296.0,28.0,26.0,4.0,4.0,1577.0,122.0,88.0,22.0,20.0,30.5,54.33,39.24,41.46,Progresor / conector,"F. Valverde (Real Madrid) aparece como progresor / conector, con índice total 41.46. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Girona,D. Blind,Defender,2377.0,28.0,27.0,0.0,0.0,1889.0,130.0,107.0,31.0,36.0,3.13,64.7,57.75,41.06,Progresor / conector,"D. Blind (Girona) aparece como progresor / conector, con índice total 41.06. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Alaves,Antonio Blanco,Midfielder,2411.0,28.0,28.0,1.0,2.0,1519.0,165.0,158.0,45.0,45.0,14.06,42.38,67.71,40.07,Sostén defensivo,"Antonio Blanco (Alaves) aparece como sostén defensivo, con índice total 40.07. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Rayo Vallecano,F. Lejeune,Defender,2691.0,30.0,30.0,0.0,0.0,1763.0,135.0,149.0,31.0,35.0,9.24,47.53,67.12,40.01,Sostén defensivo,"F. Lejeune (Rayo Vallecano) aparece como sostén defensivo, con índice total 40.01. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Celta,Marcos Alonso,Defender,2154.0,25.0,24.0,1.0,0.0,1824.0,119.0,91.0,17.0,25.0,6.3,66.82,46.58,39.56,Progresor / conector,"Marcos Alonso (Celta) aparece como progresor / conector, con índice total 39.56. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,A. Tchouaméni,Midfielder,2240.0,27.0,26.0,1.0,0.0,1610.0,125.0,147.0,36.0,34.0,10.47,52.97,56.42,39.13,Sostén defensivo,"A. Tchouaméni (Real Madrid) aparece como sostén defensivo, con índice total 39.13. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Rayo Vallecano,A. Rațiu,Defender,2313.0,27.0,26.0,0.0,3.0,1092.0,130.0,132.0,30.0,33.0,20.14,43.65,54.12,38.56,Sostén defensivo,"A. Rațiu (Rayo Vallecano) aparece como sostén defensivo, con índice total 38.56. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Betis,Antony,Forward,1938.0,25.0,23.0,7.0,4.0,925.0,101.0,87.0,17.0,19.0,43.26,36.62,32.8,37.8,Amenaza ofensiva,"Antony (Betis) aparece como amenaza ofensiva, con índice total 37.80. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Elche,D. Affengruber,Defender,2265.0,28.0,25.0,0.0,0.0,1552.0,121.0,137.0,40.0,40.0,2.99,47.26,66.3,37.48,Sostén defensivo,"D. Affengruber (Elche) aparece como sostén defensivo, con índice total 37.48. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Real Madrid,Álvaro Carreras,Defender,2064.0,25.0,23.0,2.0,1.0,1498.0,138.0,105.0,17.0,35.0,12.96,51.75,48.1,37.08,Progresor / conector,"Álvaro Carreras (Real Madrid) aparece como progresor / conector, con índice total 37.08. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Alaves,Jonny,Defender,2548.0,29.0,29.0,0.0,0.0,1498.0,134.0,133.0,36.0,35.0,5.34,50.18,56.72,36.45,Sostén defensivo,"Jonny (Alaves) aparece como sostén defensivo, con índice total 36.45. Su perfil permite valorar impacto individual dentro del modelo colectivo."
Elche,Germán Valera,Forward,2318.0,29.0,27.0,4.0,4.0,968.0,106.0,144.0,33.0,15.0,30.38,35.59,44.01,36.3,Sostén defensivo,"Germán Valera (Elche) aparece como sostén defensivo, con índice total 36.30. Su perfil permite valorar impacto individual dentro del modelo colectivo."
