ranking,tipo_ranking,equipo,jugador,position,minutos,partidos,titularidades,goles,asistencias,pases_totales,recuperaciones,duelos_ganados,entradas_ganadas,intercepciones,indice_ofensivo,indice_progresion,indice_defensivo,indice_total_jugador,rol_tactico,lectura_dashboard
1,Ranking ofensivo LaLiga,Real Madrid,K. Mbappé,Forward,2142.0,25.0,24.0,23.0,3.0,825.0,40.0,103.0,1.0,2.0,81.77,35.59,14.58,45.45,Amenaza ofensiva,"K. Mbappé (Real Madrid) aparece como amenaza ofensiva, con índice total 45.45. Su perfil permite valorar impacto individual dentro del modelo colectivo."
2,Ranking ofensivo LaLiga,Barcelona,Lamine Yamal,Forward,2134.0,26.0,24.0,14.0,6.0,1299.0,94.0,210.0,21.0,10.0,74.06,67.36,40.23,61.57,Amenaza ofensiva,"Lamine Yamal (Barcelona) aparece como amenaza ofensiva, con índice total 61.57. Su perfil permite valorar impacto individual dentro del modelo colectivo."
3,Ranking ofensivo LaLiga,Real Madrid,Vinícius Júnior,Forward,2214.0,29.0,25.0,11.0,4.0,896.0,67.0,162.0,14.0,2.0,62.61,48.05,27.14,46.87,Amenaza ofensiva,"Vinícius Júnior (Real Madrid) aparece como amenaza ofensiva, con índice total 46.87. Su perfil permite valorar impacto individual dentro del modelo colectivo."
4,Ranking ofensivo LaLiga,Real sociedad,Mikel Oyarzabal,Forward,2274.0,27.0,26.0,12.0,3.0,611.0,76.0,117.0,13.0,3.0,50.13,28.07,25.44,35.0,Amenaza ofensiva,"Mikel Oyarzabal (Real sociedad) aparece como amenaza ofensiva, con índice total 35.00. Su perfil permite valorar impacto individual dentro del modelo colectivo."
5,Ranking ofensivo LaLiga,Mallorca,V. Muriqi,Forward,2414.0,29.0,28.0,19.0,0.0,535.0,62.0,188.0,4.0,2.0,49.96,14.86,29.58,31.56,Amenaza ofensiva,"V. Muriqi (Mallorca) aparece como amenaza ofensiva, con índice total 31.56. Su perfil permite valorar impacto individual dentro del modelo colectivo."
6,Ranking ofensivo LaLiga,Real Madrid,A. Güler,Midfielder,1926.0,30.0,24.0,4.0,8.0,1258.0,97.0,102.0,27.0,8.0,48.9,53.23,31.79,45.28,Progresor / conector,"A. Güler (Real Madrid) aparece como progresor / conector, con índice total 45.28. Su perfil permite valorar impacto individual dentro del modelo colectivo."
7,Ranking ofensivo LaLiga,Barcelona,M. Rashford,Forward,1416.0,25.0,15.0,5.0,6.0,628.0,35.0,56.0,8.0,1.0,44.56,24.76,12.67,28.06,Amenaza ofensiva,"M. Rashford (Barcelona) aparece como amenaza ofensiva, con índice total 28.06. Su perfil permite valorar impacto individual dentro del modelo colectivo."
8,Ranking ofensivo LaLiga,Betis,Pablo Fornals,Midfielder,2353.0,30.0,27.0,7.0,4.0,1451.0,121.0,85.0,24.0,28.0,43.73,60.74,41.03,48.87,Progresor / conector,"Pablo Fornals (Betis) aparece como progresor / conector, con índice total 48.87. Su perfil permite valorar impacto individual dentro del modelo colectivo."
9,Ranking ofensivo LaLiga,Betis,Antony,Forward,1938.0,25.0,23.0,7.0,4.0,925.0,101.0,87.0,17.0,19.0,43.26,36.62,32.8,37.8,Amenaza ofensiva,"Antony (Betis) aparece como amenaza ofensiva, con índice total 37.80. Su perfil permite valorar impacto individual dentro del modelo colectivo."
10,Ranking ofensivo LaLiga,Barcelona,Raphinha,Forward,1299.0,20.0,17.0,11.0,3.0,593.0,44.0,44.0,5.0,4.0,42.75,24.69,12.46,27.34,Amenaza ofensiva,"Raphinha (Barcelona) aparece como amenaza ofensiva, con índice total 27.34. Su perfil permite valorar impacto individual dentro del modelo colectivo."
11,Ranking ofensivo LaLiga,Barcelona,Dani Olmo,Midfielder,1605.0,25.0,18.0,7.0,5.0,976.0,84.0,89.0,19.0,13.0,41.85,36.21,29.75,36.25,Amenaza ofensiva,"Dani Olmo (Barcelona) aparece como amenaza ofensiva, con índice total 36.25. Su perfil permite valorar impacto individual dentro del modelo colectivo."
12,Ranking ofensivo LaLiga,Osasuna,A. Budimir,Forward,2290.0,29.0,27.0,15.0,0.0,330.0,40.0,150.0,11.0,5.0,41.84,9.94,26.56,26.09,Amenaza ofensiva,"A. Budimir (Osasuna) aparece como amenaza ofensiva, con índice total 26.09. Su perfil permite valorar impacto individual dentro del modelo colectivo."
13,Ranking ofensivo LaLiga,Villareal,N. Pépé,Forward,1940.0,29.0,21.0,5.0,4.0,692.0,89.0,121.0,17.0,12.0,40.49,30.32,32.43,34.51,Amenaza ofensiva,"N. Pépé (Villareal) aparece como amenaza ofensiva, con índice total 34.51. Su perfil permite valorar impacto individual dentro del modelo colectivo."
