métrica,Real Sociedad,Media liga,Diferencia,Ranking liga
posesion_%,50.4,49.82,0.58,9
pases_totales,13344.0,13161.9,182.1,8
pases_campo_rival_%,76.02,75.53,0.49,8
goles,46.0,40.3,5.7,5
remates_totales,287.0,277.75,9.25,7
conversion_gol_%,16.03,14.37,1.66,4
ppda,10.5,12.23,-1.73,16
acciones_defensivas,916.0,797.15,118.85,3
remates_concedidos,396.0,376.1,19.9,6
indice_dominio,44.86,42.98,1.88,9
indice_amenaza,41.41,36.2,5.21,6
indice_eficacia,61.82,46.73,15.09,5
indice_presion,71.93,40.96,30.97,3
indice_solidez,48.23,53.27,-5.04,15
indice_global_equipo,51.95,43.27,8.68,4
