equipo,position,id,shirtNumber,firstName,lastName,matchName,knownName,Aerial Duels,Aerial Duels won,Appearances,Backward Passes,Carries,Duels,Duels lost,Duels won,Forward Passes,Games Played,Ground Duels,Ground Duels lost,Leftside Passes,Open Play Passes,Substitute On,Successful Open Play Passes,Successful Passes Own Half,Successful Short Passes,Time Played,Times Tackled,Total Fouls Conceded,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Aerial Duels lost,Blocked Shots,Blocks,Clean Sheets,Clearances Off the Line,Corners Won,Final Third Touches,Foul Attempted Tackle,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals from Inside Box,Ground Duels won,Headed Goals,Interceptions,Key Passes (Attempt Assists),Last Player Tackle,Offsides,Overruns,Penalties Conceded,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Launches,Successful Long Passes,Successful Passes Opposition Half,Tackles Lost,Tackles Won,Through balls,Throw Ins to Opposition Player,Throw Ins to Own Player,Total Big Chances Missed,Total Big Chances Scored,Total Clearances,Total Fouls Won,Total Shots,Total Tackles,Total Touches In Opposition Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Yellow Cards,Home Goals,Away Goals,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Direct Setpiece Goals,Goal Assists,Goals Openplay,Goals from Outside Box,Handballs conceded,Right Foot Goals,Set Pieces Goals,Successful Corners into Box,Successful Lay-offs,Total Big Chances Created,Unsuccessful Corners into Box,Unsuccessful lay-offs,GK Successful Distribution,Goal Kicks,Straight Red Cards,Total Big Chances Saved,Total Red Cards,Hit Woodwork,Left Foot Goals,Foul Won Penalty,Second Goal Assists,Penalties Taken,Penalty Goals,Red Cards - 2nd Yellow,Catches,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Own Goal Scored,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried
Real Sociedad,Midfielder,d8m3jx634os7zwau1rufwkd0,46,Ibai,Aguirre Basurco,Ibai Aguirre,,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,4.0,1.0,3.0,5.0,2.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Defender,ezbplvktzcvzh5kwur32110mi,2,Jon Mikel,Aramburu Mejías,J. Aramburu,,62.0,44.0,28.0,183.0,182.0,310.0,135.0,175.0,480.0,28.0,248.0,117.0,344.0,1034.0,2.0,830.0,424.0,833.0,2301.0,19.0,58.0,346.0,1071.0,864.0,207.0,1757.0,174.0,70.0,147.0,1.0,18.0,4.0,8.0,3.0,1.0,9.0,338.0,33.0,1.0,38.0,36.0,2.0,1.0,131.0,1.0,39.0,10.0,1.0,2.0,1.0,2.0,4.0,96.0,55.0,23.0,97.0,64.0,10.0,9.0,5.0,26.0,6.0,5.0,5.0,6.0,9.0,31.0,445.0,38.0,52.0,1.0,53.0,188.0,2.0,1.0,78.0,37.0,14.0,90.0,23.0,37.0,37.0,8.0,32.0,60.0,9.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Midfielder,ligleescbvmylb6qejczd6ok,44,Lander,Astiazarán Escabias,Lander Astiazarán,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,1.0,1.0,,4.0,3.0,,3.0,6.0,1.0,2.0,3.0,0.0,,,,,,,4.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Forward,21vx56lpd276xqbu11ubkf78q,7,Ander,Barrenetxea Muguruza,Ander Barrenetxea,,22.0,7.0,24.0,161.0,246.0,210.0,121.0,89.0,147.0,24.0,188.0,106.0,70.0,557.0,7.0,445.0,113.0,436.0,1428.0,68.0,30.0,303.0,573.0,461.0,112.0,973.0,142.0,22.0,90.0,0.0,15.0,4.0,2.0,,,10.0,493.0,17.0,3.0,21.0,18.0,3.0,1.0,82.0,,13.0,37.0,,3.0,9.0,,1.0,129.0,49.0,19.0,85.0,195.0,40.0,15.0,8.0,17.0,13.0,9.0,6.0,40.0,,25.0,357.0,9.0,11.0,5.0,,7.0,4.0,,9.0,22.0,23.0,20.0,86.0,52.0,40.0,44.0,3.0,22.0,3.0,2.0,1.0,3.0,1.0,27.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,26.0,10.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Defender,8qs8s7c173w8i1dfu06ub5zis,38,Luken,Beitia Aguirregomezcorta,Luken Beitia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Defender,6gymgqxnu2zavuxgp6amm3zkl,16,Duje,Ćaleta-Car,D. Ćaleta-Car,,112.0,74.0,21.0,72.0,198.0,161.0,64.0,97.0,329.0,21.0,49.0,26.0,247.0,959.0,3.0,862.0,640.0,870.0,1610.0,2.0,22.0,108.0,1013.0,910.0,103.0,1215.0,70.0,34.0,63.0,0.0,38.0,3.0,14.0,2.0,2.0,2.0,27.0,10.0,1.0,22.0,21.0,1.0,1.0,23.0,1.0,22.0,3.0,,1.0,,,,104.0,5.0,4.0,56.0,365.0,3.0,5.0,2.0,18.0,2.0,,,,6.0,40.0,270.0,5.0,11.0,2.0,,,1.0,1.0,91.0,7.0,7.0,16.0,18.0,1.0,1.0,,25.0,40.0,4.0,1.0,0.0,,,,,,,,,,,,,,,,31.0,31.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
Real Sociedad,Midfielder,9188rfpym5ora5ssfqxqsi6ms,43,Tomás,Carbonell del Rio,Tomás Carbonell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Forward,bqltxeg4ejtd649kta3njitqs,42,Gorka,Carrera Zarranz,Gorka Carrera,,1.0,,1.0,1.0,,3.0,2.0,1.0,,1.0,2.0,1.0,,1.0,1.0,1.0,2.0,2.0,13.0,,,2.0,2.0,2.0,,6.0,,,,0.0,1.0,,,,,,2.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Forward,2hqyw29ta24b0fk146a4mlf6c,26,Daniel,Díaz Gándara,Dani Díaz,,,,1.0,3.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,4.0,1.0,3.0,,3.0,17.0,1.0,,3.0,4.0,3.0,1.0,6.0,2.0,,1.0,0.0,,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,Defender,e35v2pspdgl7t769d57e67ob9,6,Aritz,Elustondo Irribaria,Aritz Elustondo,,15.0,9.0,11.0,20.0,38.0,51.0,29.0,22.0,85.0,11.0,36.0,23.0,72.0,213.0,7.0,188.0,122.0,189.0,413.0,3.0,13.0,40.0,223.0,198.0,25.0,329.0,17.0,10.0,17.0,0.0,6.0,,2.0,,,3.0,41.0,4.0,,8.0,6.0,2.0,,13.0,,6.0,,,,,1.0,2.0,23.0,9.0,5.0,16.0,46.0,,1.0,2.0,4.0,2.0,1.0,1.0,,1.0,9.0,77.0,4.0,4.0,,3.0,24.0,1.0,,29.0,5.0,3.0,8.0,6.0,2.0,2.0,3.0,4.0,8.0,,,,,,,,,,,1.0,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,
